"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210601 ~ 20220601"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 성동구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","84.82","202107","31","134,000","20","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","114.57","202108","14","150,000","11","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","114.57","202108","25","165,000","14","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","84.82","202108","28","139,000","12","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","84.82","202108","28","139,000","4","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","114.57","202108","29","149,500","15","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","114.57","202108","30","144,500","1","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","59.9","202109","6","114,500","12","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","84.82","202109","10","140,000","4","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","59.9","202109","13","118,500","8","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","114.57","202109","14","160,000","7","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","84.82","202110","16","146,000","3","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","84.82","202110","23","140,000","1","2001","금호로 100","","-","-"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","84.82","202201","15","160,000","14","2001","금호로 100","","중개거래","서울 성동구"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","59.9","202203","3","110,000","15","2001","금호로 100","","중개거래","서울 성동구"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","59.9","202204","23","103,500","2","2001","금호로 100","","중개거래","서울 성동구"
"서울특별시 성동구 금호동1가","633","0633","0000","벽산","59.9","202205","2","102,000","2","2001","금호로 100","","중개거래","서울 성동구"
"서울특별시 성동구 금호동1가","1818","1818","0000","신금호두산위브","116.79","202108","12","138,000","2","2006","행당로 31","","-","-"
"서울특별시 성동구 금호동1가","1818","1818","0000","신금호두산위브","84.32","202112","1","123,000","4","2006","행당로 27","","중개거래","서울 성동구"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.949","202106","4","149,000","12","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","84.957","202106","5","174,000","11","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.949","202106","24","147,000","11","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.983","202106","26","146,500","7","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.949","202107","16","150,000","5","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.983","202107","23","150,000","9","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.949","202107","24","142,500","7","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","84.957","202107","24","180,000","13","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.949","202107","29","152,900","13","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.949","202108","2","153,000","13","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.983","202108","6","150,000","11","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","84.982","202108","7","180,000","10","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.983","202108","14","139,000","1","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.983","202108","26","156,000","12","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.949","202108","27","149,000","8","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","84.932","202109","3","180,000","10","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.949","202109","28","151,000","9","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","116.134","202110","5","205,500","9","2019","금호로 140","","-","-"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.949","202111","1","158,000","12","2019","금호로 140","","중개거래","서울 성동구"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","84.932","202201","4","175,000","6","2019","금호로 140","","중개거래","서울 성동구"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","124.625","202201","22","203,000","5","2019","금호로 140","","중개거래","경기 이천시, 서울 성동구"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","59.949","202201","23","150,000","8","2019","금호로 140","","중개거래","서울 성동구"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","84.982","202204","7","173,000","10","2019","금호로 140","","중개거래","서울 마포구, 서울 성동구"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","84.932","202205","20","172,000","4","2019","금호로 140","","중개거래","서울 성동구"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","84.932","202205","22","170,000","5","2019","금호로 140","","중개거래","서울 성동구"
"서울특별시 성동구 금호동1가","280","0280","0000","이편한세상금호파크힐스","116.134","202205","27","195,000","5","2019","금호로 140","20220530","중개거래","서울 성동구"
"서울특별시 성동구 금호동2가","1215","1215","0000","금호자이1차","84.98","202106","8","150,000","13","2012","금호로 117","","-","-"
"서울특별시 성동구 금호동2가","1215","1215","0000","금호자이1차","59.99","202107","17","132,000","3","2012","금호로 117","","-","-"
"서울특별시 성동구 금호동2가","1215","1215","0000","금호자이1차","84.97","202107","24","153,000","8","2012","금호로 117","","-","-"
"서울특별시 성동구 금호동2가","1215","1215","0000","금호자이1차","59.99","202108","7","131,800","9","2012","금호로 117","","-","-"
"서울특별시 성동구 금호동2가","1215","1215","0000","금호자이1차","117.18","202109","12","179,000","5","2012","금호로 117","","-","-"
"서울특별시 성동구 금호동2가","1215","1215","0000","금호자이1차","84.97","202109","26","163,000","6","2012","금호로 117","","-","-"
"서울특별시 성동구 금호동2가","1215","1215","0000","금호자이1차","59.99","202203","12","127,000","4","2012","금호로 117","","중개거래","서울 강동구, 서울 성동구"
"서울특별시 성동구 금호동2가","1215","1215","0000","금호자이1차","117.18","202206","1","175,000","10","2012","금호로 117","","중개거래","서울 성동구, 서울 송파구"
"서울특별시 성동구 금호동2가","1331","1331","0000","두산","84.99","202109","3","132,500","11","1994","동호로 100","","-","-"
"서울특별시 성동구 금호동2가","1331","1331","0000","두산","59.97","202110","25","120,000","13","1994","동호로 100","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","59.99","202106","15","131,500","16","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","59.98","202106","28","133,000","7","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","59.99","202106","29","134,800","6","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","59.99","202107","17","140,000","15","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","84.98","202107","20","154,500","5","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","114.32","202107","20","172,000","1","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","84.98","202108","7","160,000","15","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","59.98","202108","28","139,500","9","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","84.99","202109","18","159,500","8","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","59.99","202109","29","152,000","17","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","84.98","202110","2","160,000","5","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","114.32","202110","25","187,500","10","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","84.99","202110","26","165,000","12","2012","금호로 107","","-","-"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","114.32","202204","20","168,500","8","2012","금호로 107","","중개거래","서울 성동구"
"서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","114.32","202205","3","185,000","14","2012","금호로 107","","중개거래","서울 성동구, 서울 중랑구"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202106","12","145,000","17","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202107","15","145,000","7","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","84.98","202107","23","173,500","8","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202107","24","145,000","18","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","84.98","202107","24","174,700","12","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202107","31","140,000","8","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","114.98","202108","2","185,000","1","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","84.98","202108","6","170,000","19","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202108","7","142,500","11","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202109","2","139,300","1","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202109","11","146,500","5","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202109","13","154,500","16","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","84.98","202109","15","160,000","1","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","84.98","202110","4","165,000","1","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","84.98","202110","27","177,500","4","2016","금호로 173","","-","-"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202201","15","141,500","8","2016","금호로 173","","중개거래","서울 성동구"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202201","17","158,500","16","2016","금호로 173","","중개거래","서울 성동구"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202203","16","145,000","10","2016","금호로 173","","중개거래","서울 서초구, 서울 성동구"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","84.98","202203","29","169,000","6","2016","금호로 173","","중개거래","서울 성동구"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202204","23","137,000","7","2016","금호로 173","","중개거래","서울 성동구"
"서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.98","202205","17","150,000","14","2016","금호로 173","","중개거래","서울 성동구"
"서울특별시 성동구 금호동3가","917","0917","0000","금호1차푸르지오","59.97","202107","16","117,000","9","2005","금호산길 8","","-","-"
"서울특별시 성동구 금호동3가","917","0917","0000","금호1차푸르지오","114.76","202108","3","139,500","9","2005","금호산8길 5","","-","-"
"서울특별시 성동구 금호동3가","917","0917","0000","금호1차푸르지오","114.76","202108","26","148,500","14","2005","금호산8길 5","","-","-"
"서울특별시 성동구 금호동3가","917","0917","0000","금호1차푸르지오","59.97","202110","20","122,500","3","2005","금호산길 8","","-","-"
"서울특별시 성동구 금호동3가","917","0917","0000","금호1차푸르지오","59.97","202110","27","121,000","11","2005","금호산길 8","","-","-"
"서울특별시 성동구 금호동3가","917","0917","0000","금호1차푸르지오","84.92","202111","2","130,000","10","2005","금호산길 8","","중개거래","서울 성동구"
"서울특별시 성동구 금호동3가","917","0917","0000","금호1차푸르지오","84.92","202111","12","132,500","2","2005","금호산길 8","","중개거래","서울 강동구, 서울 성동구"
"서울특별시 성동구 금호동3가","917","0917","0000","금호1차푸르지오","59.97","202112","27","100,000","4","2005","금호산길 8","20211230","직거래","-"
"서울특별시 성동구 금호동3가","917","0917","0000","금호1차푸르지오","59.97","202205","11","119,800","7","2005","금호산길 8","","중개거래","서울 성동구"
"서울특별시 성동구 금호동3가","917","0917","0000","금호1차푸르지오","59.97","202205","14","110,000","11","2005","금호산길 8","","중개거래","서울 성동구"
"서울특별시 성동구 금호동3가","917","0917","0000","금호1차푸르지오","59.97","202205","20","93,700","4","2005","금호산길 8","","직거래","-"
"서울특별시 성동구 금호동3가","700","0700","0000","금호자이2차","59.9912","202107","17","126,000","10","2012","금호산8길 14","","-","-"
"서울특별시 성동구 금호동3가","700","0700","0000","금호자이2차","115.4928","202108","3","159,000","6","2012","금호산8길 14","","-","-"
"서울특별시 성동구 금호동3가","700","0700","0000","금호자이2차","59.9167","202108","14","129,000","13","2012","금호산8길 14","","-","-"
"서울특별시 성동구 금호동3가","700","0700","0000","금호자이2차","84.7313","202108","14","156,000","19","2012","금호산8길 14","","-","-"
"서울특별시 성동구 금호동3가","700","0700","0000","금호자이2차","59.9663","202108","19","126,500","4","2012","금호산8길 14","","-","-"
"서울특별시 성동구 금호동3가","700","0700","0000","금호자이2차","84.7313","202108","20","144,000","8","2012","금호산8길 14","","-","-"
"서울특별시 성동구 금호동3가","700","0700","0000","금호자이2차","84.7313","202109","6","145,000","17","2012","금호산8길 14","","-","-"
"서울특별시 성동구 금호동3가","700","0700","0000","금호자이2차","84.7313","202110","30","129,000","4","2012","금호산8길 14","","-","-"
"서울특별시 성동구 금호동3가","700","0700","0000","금호자이2차","84.9796","202202","8","162,000","21","2012","금호산8길 14","","중개거래","서울 성동구"
"서울특별시 성동구 금호동3가","700","0700","0000","금호자이2차","59.9663","202205","5","127,500","9","2012","금호산8길 14","","중개거래","서울 성동구, 서울 성북구"
"서울특별시 성동구 금호동3가","1662","1662","0000","금호한신","130.92","202107","15","150,000","13","2005","금호산길 27","","-","-"
"서울특별시 성동구 금호동3가","1662","1662","0000","금호한신","84.96","202107","17","140,000","12","2005","금호산길 27","","-","-"
"서울특별시 성동구 금호동3가","1662","1662","0000","금호한신","84.96","202109","13","130,000","5","2005","금호산길 27","","-","-"
"서울특별시 성동구 금호동3가","1662","1662","0000","금호한신","59.99","202110","9","105,500","9","2005","금호산길 27","","-","-"
"서울특별시 성동구 금호동3가","1662","1662","0000","금호한신","59.99","202201","15","108,900","6","2005","금호산길 27","","중개거래","서울 성동구"
"서울특별시 성동구 금호동3가","1331","1331","0000","두산","84.99","202106","14","128,000","14","1994","동호로 100","","-","-"
"서울특별시 성동구 금호동3가","1331","1331","0000","두산","59.97","202106","23","110,000","8","1994","동호로 100","","-","-"
"서울특별시 성동구 금호동3가","1331","1331","0000","두산","59.97","202107","3","108,500","12","1994","동호로 100","","-","-"
"서울특별시 성동구 금호동3가","1331","1331","0000","두산","84.99","202108","24","140,000","8","1994","동호로 100","","-","-"
"서울특별시 성동구 금호동3가","1331","1331","0000","두산","79.08","202110","5","129,000","14","1994","동호로 100","","-","-"
"서울특별시 성동구 금호동3가","1331","1331","0000","두산","59.97","202110","21","99,000","1","1994","동호로 100","","-","-"
"서울특별시 성동구 금호동3가","1331","1331","0000","두산","59.97","202204","7","110,000","11","1994","동호로 100","","중개거래","서울 성동구, 서울 중구"
"서울특별시 성동구 금호동3가","1331","1331","0000","두산","59.97","202204","23","105,000","2","1994","동호로 100","","중개거래","서울 성동구"
"서울특별시 성동구 금호동3가","1331","1331","0000","두산","79.08","202205","12","133,000","1","1994","동호로 100","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","59.97","202106","1","123,500","20","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","84.71","202106","8","154,000","10","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","84.96","202106","26","149,000","5","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","84.71","202107","8","141,000","22","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","84.71","202107","13","153,500","17","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","114.6","202108","2","153,000","1","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","59.97","202108","26","133,500","10","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","59.97","202108","27","122,800","9","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","59.97","202109","16","114,000","1","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","114.6","202109","30","169,000","7","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","114.71","202110","22","182,000","12","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","84.71","202110","26","140,000","8","2001","독서당로 272","","-","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","59.97","202111","12","123,300","7","2001","독서당로 272","","중개거래","서울 서초구, 서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","59.97","202111","15","122,500","9","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","84.71","202111","20","159,000","13","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","84.71","202112","17","143,000","5","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","114.71","202201","29","163,750","1","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","59.97","202201","29","122,000","20","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","114.71","202202","26","177,000","11","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","59.97","202203","14","114,000","1","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","59.97","202204","8","118,700","17","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","59.97","202204","27","121,000","19","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","84.71","202204","30","140,000","11","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","59.97","202205","5","118,000","20","2001","독서당로 272","","중개거래","경기 구리시, 서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","84.96","202205","10","162,000","9","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","114.6","202205","24","160,550","17","2001","독서당로 272","","직거래","-"
"서울특별시 성동구 금호동4가","800","0800","0000","대우","114.71","202205","25","185,000","24","2001","독서당로 272","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","1250","1250","0000","롯데","84.99","202111","13","139,000","3","2003","동호로 84","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","1250","1250","0000","롯데","84.99","202112","3","139,500","3","2003","동호로 84","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","1550","1550","0000","브라운스톤2차","84.98","202106","19","156,000","5","2010","동호로 93","","-","-"
"서울특별시 성동구 금호동4가","1550","1550","0000","브라운스톤2차","84.98","202108","28","142,500","1","2010","동호로 93","","-","-"
"서울특별시 성동구 금호동4가","1550","1550","0000","브라운스톤2차","84.98","202201","11","160,000","14","2010","동호로 93","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","1507","1507","0000","브라운스톤금호","84.838","202106","3","159,000","9","2007","매봉길 24","","-","-"
"서울특별시 성동구 금호동4가","1507","1507","0000","브라운스톤금호","84.838","202205","10","150,000","8","2007","매봉길 24","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","180","0180","0000","삼산금호","49.49","202110","23","68,000","4","1975","금호로3길 10","","-","-"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","59.9","202106","19","140,000","3","2007","금호로 15","","-","-"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","59.9","202107","3","135,000","4","2007","금호로 15","","-","-"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","59.99","202107","22","140,000","18","2007","금호로 15","","-","-"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","59.9","202107","31","137,000","3","2007","금호로 15","","-","-"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","84.6","202108","28","169,000","7","2007","금호로 15","","-","-"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","59.99","202109","27","145,000","5","2007","금호로 15","","-","-"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","84.55","202110","17","159,000","12","2007","금호로 15","","-","-"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","84.87","202110","29","169,700","6","2007","금호로 15","","-","-"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","59.99","202111","5","150,000","7","2007","금호로 15","20220610","중개거래","경기 평택시, 서울 성동구"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","59.99","202111","5","150,000","7","2007","금호로 15","","중개거래","경기 평택시, 서울 성동구"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","84.87","202112","11","162,000","9","2007","금호로 15","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","84.6","202112","22","171,000","6","2007","금호로 15","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","59.99","202203","12","152,000","10","2007","금호로 15","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","84.87","202204","23","190,000","13","2007","금호로 15","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","59.99","202204","26","159,000","12","2007","금호로 15","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","84.87","202205","7","172,500","7","2007","금호로 15","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","114.8","202205","9","210,000","5","2007","금호로 15","","중개거래","서울 성동구"
"서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","114.8","202205","9","210,000","5","2007","금호로 15","20220525","중개거래","서울 성동구"
