□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,
계약일자 : 20210601 ~ 20220601,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,
시도 : 서울특별시,,,,,,,,,,,,,,
시군구 : 성동구,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 성동구 금호동1가,280,280,0,이편한세상금호파크힐스,84.957,202106,5,174000,11,2019,금호로 140,,-,-
서울특별시 성동구 금호동1가,280,280,0,이편한세상금호파크힐스,59.949,202106,24,147000,11,2019,금호로 140,,-,-
서울특별시 성동구 금호동1가,280,280,0,이편한세상금호파크힐스,59.983,202106,26,146500,7,2019,금호로 140,,-,-
서울특별시 성동구 금호동1가,280,280,0,이편한세상금호파크힐스,59.949,202107,16,150000,5,2019,금호로 140,,-,-
서울특별시 성동구 금호동1가,280,280,0,이편한세상금호파크힐스,59.983,202107,23,150000,9,2019,금호로 140,,-,-
서울특별시 성동구 금호동1가,280,280,0,이편한세상금호파크힐스,59.949,202107,24,142500,7,2019,금호로 140,,-,-
서울특별시 성동구 금호동1가,280,280,0,이편한세상금호파크힐스,84.957,202107,24,180000,13,2019,금호로 140,,-,-
서울특별시 성동구 금호동1가,280,280,0,이편한세상금호파크힐스,59.949,202107,29,152900,13,2019,금호로 140,,-,-
서울특별시 성동구 금호동1가,280,280,0,이편한세상금호파크힐스,59.949,202108,2,153000,13,2019,금호로 140,,-,-
서울특별시 성동구 금호동1가,280,280,0,이편한세상금호파크힐스,59.983,202108,6,150000,11,2019,금호로 140,,-,-
서울특별시 성동구 금호동1가,280,280,0,이편한세상금호파크힐스,84.982,202108,7,180000,10,2019,금호로 140,,-,-
